"Chilliwack","Chilliwack","Canada",49.152779,-121.93889
"Clyde River","Clyde River","Canada",70.486111,-68.516667
"Fairmont Hot Springs","Coral Harbour","Canada",50.330278,-115.873333
"Dawson City","Dawson","Canada",64.043056,-139.127778
"Burwash","Burwash","Canada",61.371111,-139.040556
"Princeton","Princeton","Canada",49.468056,-120.511389
"Deer Lake","Deer Lake","Canada",49.210833,-57.391388
"Dease Lake","Dease Lake","Canada",58.422222,-130.032222
"Dauphin Barker","Dauphin","Canada",51.100834,-100.0525
"Dawson Creek","Dawson Creek","Canada",55.742333,-120.183
"Edmonton Intl","Edmonton","Canada",53.309723,-113.579722
"Arviat","Eskimo Point","Canada",61.094166,-94.070833
"Estevan","Estevan","Canada",49.210278,-102.965833
"Edson","Edson","Canada",53.578888,-116.465
"Eureka","Eureka","Canada",79.994722,-85.814167
"Inuvik Mike Zubko","Inuvik","Canada",68.304167,-133.482778
"Iqaluit","Iqaluit","Canada",63.75639,-68.555832
"Fredericton","Fredericton","Canada",45.868889,-66.537222
"Forestville","Forestville","Canada",48.746111,-69.097222
"Flin Flon","Flin Flon","Canada",54.678055,-101.681667
"Fort Resolution","Fort Resolution","Canada",61.180832,-113.689722
"Fort Simpson","Fort Simpson","Canada",61.760153,-121.236525
"Kingston","Kingston","Canada",44.225277,-76.596944
"La Grande Riviere","La Grande Riviere","Canada",53.625278,-77.704167
"Gaspe","Gaspe","Canada",48.775278,-64.478611
"Geraldton Greenstone Regional","Geraldton","Canada",49.778332,-86.939445
"Iles De La Madeleine","Iles De La Madeleine","Canada",47.424721,-61.778056
"Hudson Bay","Hudson Bay","Canada",52.816666,-102.31139
"Dryden Rgnl","Dryden","Canada",49.831667,-92.744167
"Ulukhaktok Holman","Holman Island","Canada",70.762778,-117.806111
"Gjoa Haven","Gjoa Haven","Canada",68.635556,-95.849722
"Hamilton","Hamilton","Canada",43.173611,-79.935
"St Hubert","Montreal","Canada",45.5175,-73.416944
"Hay River","Hay River","Canada",60.839722,-115.782778
"Halifax Intl","Halifax","Canada",44.880833,-63.50861
"Atikokan Muni","Atikokan","Canada",48.773888,-91.638611
"Pond Inlet","Pond Inlet","Canada",72.683334,-77.966667
"St Jean","St. Jean","Canada",45.294445,-73.281111
"Stephenville","Stephenville","Canada",48.544167,-58.549999
"Kamloops","Kamloops","Canada",50.702222,-120.444444
"Waterloo","Waterloo","Canada",43.460833,-80.378611
"Schefferville","Schefferville","Canada",54.805278,-66.805278
"Kindersley","Kindersley","Canada",51.5175,-109.180833
"Buttonville Muni","Toronto","Canada",43.862221,-79.37
"Chapleau","Chapleau","Canada",47.82,-83.346667
"Meadow Lake","Meadow Lake","Canada",54.125278,-108.522778
"Lloydminster","Lloydminster","Canada",53.309166,-110.0725
"Alert","Alert","Canada",82.517778,-62.280556
"Kelowna","Kelowna","Canada",49.956112,-119.377778
"Mayo","Mayo","Canada",63.616389,-135.868333
"Moose Jaw Air Vice Marshal C M Mcewen","Moose Jaw","Canada",50.330278,-105.559167
"Fort Mcmurray","Fort Mcmurray","Canada",56.653333,-111.221944
"Moosonee","Moosonee","Canada",51.291111,-80.607778
"Maniwaki","Maniwaki","Canada",46.272778,-75.990556
"Montreal Intl Mirabel","Montreal","Canada",45.681944,-74.005278
"Natashquan","Natashquan","Canada",50.19,-61.789167
"Gatineau","Gatineau","Canada",45.521694,-75.563589
"Matagami","Matagami","Canada",49.761667,-77.802778
"Old Crow","Old Crow","Canada",67.570556,-139.839167
"Cold Lake","Cold Lake","Canada",54.404999,-110.279444
"High Level","High Level","Canada",58.621389,-117.164722
"Ottawa Macdonald Cartier Intl","Ottawa","Canada",45.3225,-75.669167
"Prince Albert Glass Field","Prince Albert","Canada",53.214167,-105.672778
"Peace River","Peace River","Canada",56.226944,-117.447222
"Southport","Portage-la-prairie","Canada",49.903056,-98.273889
"Pitt Meadows","Pitt Meadows","Canada",49.21611,-122.71
"Pickle Lake","Pickle Lake","Canada",51.446388,-90.214167
"Port Menier","Port Menier","Canada",49.836389,-64.288611
"Peterborough","Peterborough","Canada",44.23,-78.363333
"Prince Rupert","Prince Pupert","Canada",54.28611,-130.444722
"Fort Chipewyan","Fort Chipewyan","Canada",58.767223,-111.117222
"Muskoka","Muskoka","Canada",44.974722,-79.303333
"Quebec Jean Lesage Intl","Quebec","Canada",46.791111,-71.393333
"Red Deer Regional","Red Deer Industrial","Canada",52.182222,-113.894444
"Windsor","Windsor","Canada",42.275556,-82.955556
"Watson Lake","Watson Lake","Canada",60.116389,-128.8225
"Kenora","Kenora","Canada",49.788334,-94.363056
"Lethbridge","Lethbridge","Canada",49.630278,-112.799722
"Greater Moncton Intl","Moncton","Canada",46.112221,-64.678611
"Comox","Comox","Canada",49.710833,-124.886667
"Regina Intl","Regina","Canada",50.431944,-104.665833
"Thunder Bay","Thunder Bay","Canada",48.371944,-89.323889
"Grande Prairie","Grande Prairie","Canada",55.179722,-118.885
"Yorkton Muni","Yorkton","Canada",51.264721,-102.461667
"North Battleford","North Battleford","Canada",52.769167,-108.24361
"Gander Intl","Gander","Canada",48.936944,-54.568056
"Sydney","Sydney","Canada",46.161388,-60.047779
"Quesnel","Quesnel","Canada",53.026112,-122.510278
"Resolute Bay","Resolute","Canada",74.716944,-94.969444
"Riviere Du Loup","Riviere Du Loup","Canada",47.764444,-69.584722
"Roberval","Roberval","Canada",48.52,-72.265556
"Rocky Mountain House","Rocky Mountain House","Canada",52.429722,-114.904167
"Rankin Inlet","Rankin Inlet","Canada",62.81139,-92.115833
"Sudbury","Sudbury","Canada",46.625,-80.798889
"Sherbrooke","Sherbrooke","Canada",45.438611,-71.691389
"Saint John","St. John","Canada",45.316111,-65.890278
"Fort Smith","Fort Smith","Canada",60.020278,-111.961944
"Nanisivik","Nanisivik","Canada",72.982222,-84.613611
"Summerside","Summerside","Canada",46.440556,-63.833611
"Sachs Harbour","Sachs Harbour","Canada",71.993889,-125.2425
"Cape Dorset","Cape Dorset","Canada",64.23,-76.526667
"Thompson","Thompson","Canada",55.801111,-97.864166
"Trenton","Trenton","Canada",44.118889,-77.528056
"Timmins","Timmins","Canada",48.569721,-81.376667
"City Centre","Toronto","Canada",43.627499,-79.396167
"Tuktoyaktuk","Tuktoyaktuk","Canada",69.433334,-133.026389
"Pierre Elliott Trudeau Intl","Montreal","Canada",45.470556,-73.740833
"Repulse Bay","Repulse Bay","Canada",66.521389,-86.224722
"Hall Beach","Hall Beach","Canada",68.776111,-81.243611
"Rouyn Noranda","Rouyn","Canada",48.206111,-78.835556
"La Ronge","La Ronge","Canada",55.15139,-105.261944
"Vermilion","Vermillion","Canada",53.355833,-110.82389
"Qikiqtarjuaq","Broughton Island","Canada",67.545833,-64.031389
"Val D Or","Val D'or","Canada",48.053333,-77.782778
"Kuujjuaq","Quujjuaq","Canada",58.096111,-68.426944
"Norman Wells","Norman Wells","Canada",65.281617,-126.798219
"Vancouver Intl","Vancouver","Canada",49.193889,-123.184444
"Buffalo Narrows","Buffalo Narrows","Canada",55.841944,-108.4175
"Wiarton","Wiarton","Canada",44.745834,-81.107222
"Petawawa","Petawawa","Canada",45.952221,-77.319168
"Winnipeg Intl","Winnipeg","Canada",49.910036,-97.239886
"Wabush","Wabush","Canada",52.921944,-66.864444
"Williams Lake","Williams Lake","Canada",52.183056,-122.054167
"Wrigley","Wrigley","Canada",63.209444,-123.436667
"Canadian Rockies Intl","Cranbrook","Canada",49.612222,-115.781944
"Edmonton City Centre","Edmonton","Canada",53.5725,-113.520556
"Saskatoon J G Diefenbaker Intl","Saskatoon","Canada",52.170834,-106.699722
"Medicine Hat","Medicine Hat","Canada",50.01889,-110.720833
"Fort St John","Fort Saint John","Canada",56.238056,-120.740278
"Sioux Lookout","Sioux Lookout","Canada",50.113889,-91.905278
"Pangnirtung","Pangnirtung","Canada",66.145,-65.713611
"Timiskaming Rgnl","Earlton","Canada",47.695,-79.848889
"Prince George","Prince George","Canada",53.889444,-122.678889
"Terrace","Terrace","Canada",54.468508,-128.576219
"London","London","Canada",43.033056,-81.151111
"Abbotsford","Abbotsford","Canada",49.025278,-122.360556
"Whitehorse Intl","Whitehorse","Canada",60.709553,-135.067269
"North Bay","North Bay","Canada",46.363611,-79.422778
"Calgary Intl","Calgary","Canada",51.113888,-114.020278
"Smithers","Smithers","Canada",54.824722,-127.182778
"Fort Nelson","Fort Nelson","Canada",58.836389,-122.596944
"Penticton","Penticton","Canada",49.463056,-119.602222
"Charlottetown","Charlottetown","Canada",46.290001,-63.121111
"Taloyoak","Spence Bay","Canada",69.546667,-93.576667
"Victoria Intl","Victoria","Canada",48.646944,-123.425833
"Lynn Lake","Lynn Lake","Canada",56.863888,-101.07611
"Swift Current","Swift Current","Canada",50.291944,-107.690556
"Churchill","Churchill","Canada",58.739167,-94.065
"Goose Bay","Goose Bay","Canada",53.319168,-60.425833
"St Johns Intl","St. John's","Canada",47.61861,-52.751945
"Kapuskasing","Kapuskasing","Canada",49.413889,-82.4675
"Armstrong","Armstrong","Canada",50.290279,-88.909721
"Mont Joli","Mont Joli","Canada",48.608612,-68.208056
"Lester B Pearson Intl","Toronto","Canada",43.677223,-79.630556
"Downsview","Toronto","Canada",43.7425,-79.465556
"Gore Bay Manitoulin","Gore Bay","Canada",45.885277,-82.567778
"Yellowknife","Yellowknife","Canada",62.462778,-114.440278
"Slave Lake","Slave Lake","Canada",55.293056,-114.777222
"Sandspit","Sandspit","Canada",53.254333,-131.813833
"Chris Hadfield","Sarnia","Canada",42.999444,-82.308889
"Port Hardy","Port Hardy","Canada",50.680556,-127.366667
"Whitecourt","Whitecourt","Canada",54.14389,-115.786667
"Sept Iles","Sept-iles","Canada",50.223333,-66.265556
"Teslin","Teslin","Canada",60.172779,-132.742778
"Greenwood","Greenwood","Canada",44.984444,-64.916944
"Faro","Faro","Canada",62.2075,-133.375833
"Fort Mcpherson","Fort Mcpherson","Canada",67.4075,-134.860556
"Blida","Blida","Algeria",36.503613,2.814167
"Bou Saada","Bou Saada","Algeria",35.3325,4.206389
"Soummam","Bejaja","Algeria",36.711997,5.069922
"Houari Boumediene","Algier","Algeria",36.691014,3.215408
"Tiska","Djanet","Algeria",24.292767,9.452444
"Boufarik","Boufarik","Algeria",36.545834,2.876111
"Reggane","Reggan","Algeria",26.710103,0.285647
"Illizi Takhamalt","Illizi","Algeria",26.723536,8.622653
"Ain Oussera","Ain Oussera","Algeria",35.525414,2.878714
"Tamanrasset","Tamanrasset","Algeria",22.811461,5.451075
"Jijel","Jijel","Algeria",36.795136,5.873608
"Mecheria","Mecheria","Algeria",33.535853,-0.242353
"Relizane","Relizane","Algeria",35.752239,0.626272
"Annaba","Annaba","Algeria",36.822225,7.809167
"Mohamed Boudiaf Intl","Constantine","Algeria",36.276028,6.620386
"Cheikh Larbi Tebessi","Tebessa","Algeria",35.431611,8.120717
"Hassi R Mel","Tilrempt","Algeria",32.930431,3.311542
"Bou Chekif","Tiaret","Algeria",35.341136,1.463147
"Bou Sfer","Bou Sfer","Algeria",35.735389,-0.805389
"Tindouf","Tindouf","Algeria",27.700372,-8.167103
"Ech Cheliff","Ech-cheliff","Algeria",36.212658,1.331775
"Tafaraoui","Oran","Algeria",35.542444,-0.532278
"Zenata","Tlemcen","Algeria",35.016667,-1.45
"Es Senia","Oran","Algeria",35.623858,-0.621183
"Sidi Bel Abbes","Sidi Bel Abbes","Algeria",35.171775,-0.593275
"Ghriss","Ghriss","Algeria",35.207725,0.147142
"Touat Cheikh Sidi Mohamed Belkebir","Adrar","Algeria",27.837589,-0.186414
"Biskra","Biskra","Algeria",34.793289,5.738231
"El Golea","El Golea","Algeria",30.571294,2.859586
"Noumerat","Ghardaia","Algeria",32.384106,3.794114
"Oued Irara","Hassi-messaoud","Algeria",31.672972,6.140444
"In Salah","In Salah","Algeria",27.251022,2.512017
"Sidi Mahdi","Touggourt","Algeria",33.067803,6.088672
"Laghouat","Laghouat","Algeria",33.764383,2.928344
"Timimoun","Timimoun","Algeria",29.237119,0.276033
"Ouargla","Ouargla","Algeria",31.917223,5.412778
"In Amenas","Zarzaitine","Algeria",28.05155,9.642911
"Cadjehoun","Cotonou","Benin",6.357228,2.384353
"Ouagadougou","Ouagadougou","Burkina Faso",12.353194,-1.512417
"Bobo Dioulasso","Bobo-dioulasso","Burkina Faso",11.160056,-4.330969
"Kotoka Intl","Accra","Ghana",5.605186,-0.166786
"Tamale","Tamale","Ghana",9.557192,-0.863214
"Wa","Wa","Ghana",10.082664,-2.507694
"Sunyani","Sunyani","Ghana",7.361828,-2.328756
"Takoradi","Takoradi","Ghana",4.896056,-1.774756
"Abidjan Felix Houphouet Boigny Intl","Abidjan","Cote d'Ivoire",5.261386,-3.926294
"Bouake","Bouake","Cote d'Ivoire",7.7388,-5.073667
"Daloa","Daloa","Cote d'Ivoire",6.792808,-6.473189
"Korhogo","Korhogo","Cote d'Ivoire",9.387183,-5.556664
"Man","Man","Cote d'Ivoire",7.272069,-7.587364
"San Pedro","San Pedro","Cote d'Ivoire",4.746717,-6.660817
"Yamoussoukro","Yamoussoukro","Cote d'Ivoire",6.903167,-5.365581
"Nnamdi Azikiwe Intl","Abuja","Nigeria",9.006792,7.263172
"Akure","Akure","Nigeria",7.246739,5.301008
"Benin","Benin","Nigeria",6.316981,5.599503
"Calabar","Calabar","Nigeria",4.976019,8.347197
"Enugu","Enugu","Nigeria",6.474272,7.561961
"Gusau","Gusau","Nigeria",12.171667,6.696111
"Ibadan","Ibadan","Nigeria",7.362458,3.978333
"Ilorin","Ilorin","Nigeria",8.440211,4.493919
"Yakubu Gowon","Jos","Nigeria",9.639828,8.86905
"Kaduna","Kaduna","Nigeria",10.696025,7.320114
"Mallam Aminu Intl","Kano","Nigeria",12.047589,8.524622
"Maiduguri","Maiduguri","Nigeria",11.855347,13.08095
"Makurdi","Makurdi","Nigeria",7.703883,8.613939
"Murtala Muhammed","Lagos","Nigeria",6.577369,3.321156
"Minna New","Minna","Nigeria",9.652172,6.462256
"Port Harcourt Intl","Port Hartcourt","Nigeria",5.015494,6.949594
"Sadiq Abubakar Iii Intl","Sokoto","Nigeria",12.916322,5.207189
"Yola","Yola","Nigeria",9.257553,12.430422
"Zaria","Zaria","Nigeria",11.130192,7.685806
"Maradi","Maradi","Niger",13.502531,7.126753
"Diori Hamani","Niamey","Niger",13.481547,2.183614
"Tahoua","Tahoua","Niger",14.875658,5.265358
"Manu Dayak","Agadez","Niger",16.965997,8.000114
"Dirkou","Dirkou","Niger",18.968703,12.86865
"Diffa","Diffa","Niger",13.372894,12.626686
"Zinder","Zinder","Niger",13.778997,8.983761
"Habib Bourguiba Intl","Monastir","Tunisia",35.758056,10.754722
"Carthage","Tunis","Tunisia",36.851033,10.227217
"Sidi Ahmed Air Base","Bizerte","Tunisia",37.245447,9.791453
"Remada","Remada","Tunisia",32.306156,10.382108
"Gafsa","Gafsa","Tunisia",34.422022,8.822503
"Gabes","Gabes","Tunisia",33.876919,10.103333
"Borj El Amri","Bordj El Amri","Tunisia",36.721339,9.943147
"Zarzis","Djerba","Tunisia",33.875031,10.775461
"El Borma","El Borma","Tunisia",31.704281,9.254619
"Thyna","Sfax","Tunisia",34.717953,10.690972
"Nefta","Tozeur","Tunisia",33.939722,8.110556
"Niamtougou International","Niatougou","Togo",9.767333,1.09125
"Gnassingbe Eyadema Intl","Lome","Togo",6.165611,1.254511
"Deurne","Antwerp","Belgium",51.189444,4.460278
"Beauvechain","Beauvechain","Belgium",50.75861,4.768333
"Kleine Brogel","Kleine Brogel","Belgium",51.168333,5.47
"Brussels Natl","Brussels","Belgium",50.901389,4.484444
"Bertrix","Bertrix","Belgium",49.891667,5.223889
"Brussels South","Charleroi","Belgium",50.459197,4.453817
"Chievres Ab","Chievres","Belgium",50.575833,3.831
"Koksijde","Koksijde","Belgium",51.090278,2.652778
"Florennes","Florennes","Belgium",50.243333,4.645833
"Wevelgem","Kortrijk-vevelgem","Belgium",50.817222,3.204722
"Liege","Liege","Belgium",50.637417,5.443222
"Oostende","Ostend","Belgium",51.198889,2.862222
"Zutendaal","Zutendaal","Belgium",50.9475,5.590556
"Sint Truiden","Sint-truiden","Belgium",50.791944,5.201667
"Saint Hubert Mil","St.-hubert","Belgium",50.035833,5.404167
"Ursel","Ursel","Belgium",51.144133,3.474361
"Weelde","Weelde","Belgium",51.394783,4.960194
"Zoersel","Zoersel","Belgium",51.264722,4.753333
"Bautzen","Bautzen","Germany",51.193531,14.519747
"Altenburg Nobitz","Altenburg","Germany",50.981817,12.506361
"Dessau","Dessau","Germany",51.831828,12.184033
"Eisenhuttenstadt","Eisenhuettenstadt","Germany",52.197333,14.585667
"Putnam County Airport","Greencastle","United States",39.6335556,-86.8138056
"Grossenhain","Suhl","Germany",51.308111,13.554973
"Merseburg","Muehlhausen","Germany",51.363,11.940833
"Halle Oppin","Halle","Germany",51.552,12.052667
"Riesa Gohlis","Riesa","Germany",51.2935,13.356
"Rechlin Larz","Rechlin-laerz","Germany",53.306417,12.753139
"Strausberg","Strausberg","Germany",52.579978,13.915683
"Schonhagen","Schoenhagen","Germany",52.203258,13.158408
"Barth","Barth","Germany",54.33754,12.699705
"Jena Schongleina","Jena","Germany",50.915161,11.714519
"Kyritz","Kyritz","Germany",52.918833,12.425333
"Magdeburg","Magdeburg","Germany",52.073658,11.626467
"Rothenburg Gorlitz","Rothenburg/ol","Germany",51.363167,14.95
"Anklam","Anklam","Germany",53.8327,13.669131
"Cottbus Drewitz","Cottbus","Germany",51.889475,14.531986
"Kamenz","Kamenz","Germany",51.29625,14.129
"Schonefeld","Berlin","Germany",52.380001,13.5225
"Dresden","Dresden","Germany",51.132767,13.767161
"Erfurt","Erfurt","Germany",50.979811,10.958106
"Frankfurt Main","Frankfurt","Germany",50.026421,8.543125
"Munster Osnabruck","Muenster/osnabrueck","Germany",52.134642,7.684831
"Hamburg","Hamburg","Germany",53.630389,9.988228
"Tempelhof","Berlin","Germany",52.473025,13.403944
"Koln Bonn","Cologne","Germany",50.865917,7.142744
"Dusseldorf","Duesseldorf","Germany",51.289453,6.766775
"Franz Josef Strauss","Munich","Germany",48.353783,11.786086
"Nurnberg","Nuernberg","Germany",49.4987,11.066897
"Leipzig Halle","Leipzig","Germany",51.432447,12.241633
"Saarbrucken","Saarbruecken","Germany",49.214553,7.109508
"Stuttgart","Stuttgart","Germany",48.689878,9.221964
"Tegel","Berlin","Germany",52.559686,13.287711
"Hannover","Hannover","Germany",52.461056,9.685078
"Neuenland","Bremen","Germany",53.0475,8.786667
"Egelsbach","Egelsbach","Germany",49.960833,8.6415
"Frankfurt Hahn","Hahn","Germany",49.948672,7.263892
"Mannheim City","Mannheim","Germany",49.472706,8.514264
"Allendorf Eder","Allendorf","Germany",51.034878,8.680839
"Worms","Worms","Germany",49.606511,8.3684
"Mainz Finthen","Mainz","Germany",49.968931,8.148336
"Eisenach Kindel","Eisenach","Germany",50.992797,10.472711
"Siegerland","Siegerland","Germany",50.707658,8.082969
"Hamburg Finkenwerder","Hamburg","Germany",53.535886,9.837025
"Kiel Holtenau","Kiel","Germany",54.3795,10.145167
"Lubeck Blankensee","Luebeck","Germany",53.805367,10.719222
"Dahlemer Binz","Dahlemer Binz","Germany",50.405888,6.528083
"Meinerzhagen","Meinerzhagen","Germany",51.099445,7.601944
"Arnsberg Menden","Arnsberg","Germany",51.483333,7.899333
"Essen Mulheim","Essen","Germany",51.402333,6.937333
"Bielefeld","Bielefeld","Germany",51.964833,8.544833
"Monchengladbach","Moenchengladbach","Germany",51.230356,6.504494
"Paderborn Lippstadt","Paderborn","Germany",51.614089,8.616317
"Stadtlohn Vreden","Stadtlohn","Germany",51.995844,6.840667
"Dortmund","Dortmund","Germany",51.518314,7.612242
"Augsburg","Augsburg","Germany",48.425158,10.931764
"Biberach An Der Riss","Biberach","Germany",48.111,9.762833
"Eggenfelden","Eggenfelden","Germany",48.396167,12.723667
"Mindelheim Mattsies","Mindelheim","Germany",48.108833,10.524333
"Oberpfaffenhofen","Oberpfaffenhofen","Germany",48.081364,11.283067
"Straubing","Straubing","Germany",48.90095,12.518186
"Vilshofen","Vilshofen","Germany",48.635167,13.195667
"Leutkirch Unterzeil","Leutkirch","Germany",47.859117,10.014572
"Friedrichshafen","Friedrichshafen","Germany",47.671317,9.511486
"Schwerin Parchim","Parchim","Germany",53.426997,11.783436
"Stendal Borstel","Stendal","Germany",52.628833,11.82
"Aalen Heidenheim Elchingen","Aalen-heidenheim","Germany",48.777833,10.264667
"Bayreuth","Bayreuth","Germany",49.984428,11.638569
"Burg Feuerstein","Burg Feuerstein","Germany",49.793833,11.133167
"Hof Plauen","Hof","Germany",50.288836,11.854919
"Hassfurt Schweinfurt","Hassfurt","Germany",50.018,10.5295
"Koblenz Winningen","Koblenz","Germany",50.3255,7.528667
"Trier Fohren","Trier","Germany",49.8635,6.788167
"Speyer","Speyer","Germany",49.302776,8.451195
"Zweibrucken","Zweibruecken","Germany",49.209525,7.400647
"Donaueschingen Villingen","Donaueschingen","Germany",47.973331,8.522223
"Freiburg","Freiburg","Germany",48.022653,7.832583
"Mengen Hohentengen","Mengen","Germany",48.053833,9.372833
"Schwabisch Hall","Schwaebisch Hall","Germany",49.118317,9.783956
"Finsterwalde Schacksdorf","Soest","Germany",51.6075,13.738
"Braunschweig Wolfsburg","Braunschweig","Germany",52.319167,10.556111
"Kassel Calden","Kassel","Germany",51.408394,9.377631
"Hildesheim","Hildesheim","Germany",52.179833,9.945667
"Bremerhaven","Bremerhaven","Germany",53.507081,8.572878
"Emden","Emden","Germany",53.391186,7.227408
"Leer Papenburg","Leer","Germany",53.271592,7.442344
"Wilhelmshaven Mariensiel","Wilhelmshaven","Germany",53.504833,8.053333
"Borkum","Borkum","Germany",53.5955,6.709167
"Norderney","Norderney","Germany",53.706822,7.230247
"Flensburg Schaferhaus","Flensburg","Germany",54.771772,9.378214
"Rendsburg Schachtholm","Rendsburg","Germany",54.220928,9.600803
"Westerland Sylt","Westerland","Germany",54.91325,8.340472
"Amari","Armari Air Force Base","Estonia",59.260286,24.208467
"Kardla","Kardla","Estonia",58.990756,22.830733
"Kuressaare","Kuressaare","Estonia",58.229883,22.509494
"Parnu","Parnu","Estonia",58.419044,24.472819
"Tallinn","Tallinn-ulemiste International","Estonia",59.413317,24.832844
"Tartu","Tartu-ulenurme","Estonia",58.307461,26.690428
"Enontekio","Enontekio","Finland",68.362586,23.424322
"Eura","Eura","Finland",61.116112,22.201389
"Halli","Halli","Finland",61.85605,24.7866
"Helsinki Malmi","Helsinki","Finland",60.254558,25.042828
"Helsinki Vantaa","Helsinki","Finland",60.317222,24.963333
"Hameenkyro","Hameenkyro","Finland",61.689656,23.073744
"Hanko","Hanko","Finland",59.848864,23.083583
"Hyvinkaa","Hyvinkaa","Finland",60.654444,24.881111
"Kiikala","Kikala","Finland",60.462502,23.6525
"Immola","Immola","Finland",61.249172,28.903711
"Kitee","Kitee","Finland",62.166111,30.073611
"Ivalo","Ivalo","Finland",68.607269,27.405328
"Joensuu","Joensuu","Finland",62.662906,29.60755
"Jyvaskyla","Jyvaskyla","Finland",62.399453,25.678253
"Kauhava","Kauhava","Finland",63.127078,23.051442
"Kemi Tornio","Kemi","Finland",65.781889,24.5991
"Kajaani","Kajaani","Finland",64.285472,27.692414
"Kauhajoki","Kauhajoki","Finland",62.462502,22.393055
"Kruunupyy","Kruunupyy","Finland",63.721172,23.143131
"Kemijarvi","Kemijarvi","Finland",66.712883,27.156786
"Kuusamo","Kuusamo","Finland",65.987575,29.239381
"Kittila","Kittila","Finland",67.701022,24.84685
"Kuopio","Kuopio","Finland",63.00715,27.797756
"Lahti Vesivehmaa","Vesivehmaa","Finland",61.144158,25.693508
"Lappeenranta","Lappeenranta","Finland",61.044553,28.144397
"Mariehamn","Mariehamn","Finland",60.122203,19.898156
"Menkijarvi","Menkijarvi","Finland",62.946667,23.518889
"Mikkeli","Mikkeli","Finland",61.6866,27.201794
"Nummela","Nummela","Finland",60.333889,24.296389
"Oulu","Oulu","Finland",64.930061,25.354564
"Piikajarvi","Piikajarvi","Finland",61.245558,22.193356
"Pori","Pori","Finland",61.461686,21.799983
"Pudasjarvi","Pudasjarvi","Finland",65.402222,26.946944
"Pyhasalmi","Pyhasalmi","Finland",63.731917,25.926306
"Raahe Pattijoki","Pattijoki","Finland",64.688056,24.695833
"Rantasalmi","Rantasalmi","Finland",62.065481,28.356494
"Rovaniemi","Rovaniemi","Finland",66.564822,25.830411
"Rayskala","Rayskala","Finland",60.744722,24.107778
"Savonlinna","Savonlinna","Finland",61.943064,28.945136
"Selanpaa","Selanpaa","Finland",61.062389,26.798861
"Sodankyla","Sodankyla","Finland",67.395033,26.619133
"Tampere Pirkkala","Tampere","Finland",61.414147,23.604392
"Teisko","Teisko","Finland",61.77335,24.027006
"Turku","Turku","Finland",60.514142,22.262808
"Utti","Utti","Finland",60.896394,26.938353
"Vaasa","Vaasa","Finland",63.05065,21.762175
"Varkaus","Varkaus","Finland",62.171111,27.868611
"Ylivieska","Ylivieska-raudaskyla","Finland",64.060547,24.715953
"Aldergrove","Belfast","United Kingdom",54.6575,-6.215833
"St Angelo","Enniskillen","United Kingdom",54.398889,-7.651667
"City","Belfast","United Kingdom",54.618056,-5.8725
"Londonderry Eglinton","Londonderry","United Kingdom",55.042778,-7.161111
"Birmingham","Birmingham","United Kingdom",52.453856,-1.748028
